生姜片, 生薑片
冲回, 衝回
波里尼西亚人, 波里尼西亞人
時鐘頻率, 時脈頻率
鉅奸, 鉅奸
白化症, 白化症
唸了一聲, 唸了一聲
原葉體, 原葉體
御窑, 御窑
幾百年, 幾百年
前后脚儿, 前后脚儿
南极洲, 南極洲
五杯, 五杯
臨制, 臨制
餘件, 餘件
蒙药, 蒙藥
赶回到, 趕回到
发言发语, 发言发语
臘盡冬殘, 臘盡冬殘
欧普艺术, 欧普艺术
澎湖天后宫, 澎湖天后宫
採水, 採水
受骗上当, 受騙上當
家庄, 家莊
掛紅燈, 掛紅燈
军团杆菌, 军团杆菌
修省, 修省
兇殺, 兇殺
称叹, 稱歎
复合命题, 复合命题
复军, 覆军
醫宗金鑑, 醫宗金鑑
政治鬥爭, 政治鬥爭
风刮, 風颳
相当于或大于, 相当于或大于
信据, 信據
后记, 后记
蜡封, 蜡封
针箍儿, 針箍兒
描繪出來, 描繪出來
二里头, 二里頭
万劫, 萬劫
參透, 參透
嚼谷, 嚼谷
布莱德福, 布萊德福
當雄縣, 當雄縣
回部, 回部
翊赞, 翊贊
评注, 評註
主机板, 主机板
三日不读书面目可憎, 三日不讀書面目可憎
黨閥, 黨閥
解釋器, 直譯器
帘子, 簾子
怙惡不改, 怙惡不改
公之於衆, 公之於衆
尽想, 尽想
挣扎, 挣扎
针线活, 針線活
体干班, 體幹班
各发, 各发
布佳迪, 布佳迪
行凶杀人, 行兇殺人
个人主义, 个人主义
占中, 佔中
贏餘, 贏餘
克丽丝, 克丽丝
二种, 二种
欲购从速, 欲購從速
阿朱, 阿朱
压回, 壓回
德意志民主共和國, 德意志民主共和國
布拉吉, 布拉吉
纔回, 纔回
最初几年, 最初几年
天后站, 天后站
重划区, 重划区
萬向節, 萬向節
布掸子, 布撣子
无主尸, 無主屍
诗钟, 詩鐘
擢发抽肠, 擢髮抽腸
几环, 几环
丽于, 丽于
浮云, 浮雲
递回, 遞迴
烽煙四起, 烽煙四起
何當, 何當
別宮祭江, 別宮祭江
葉面, 葉面
征敛, 征斂
显微手术, 显微手术
肇因于, 肇因于
見面禮, 見面禮
适之, 适之
中国国民党, 中国国民党
全當, 全當
共产集团, 共产集团
卯上干, 卯上干
發生學分類法, 發生學分類法
圍了, 圍了
彩云易散, 彩雲易散
并入, 并入
同舟而濟, 同舟而濟
极选, 極選
小虫, 小蟲
縉雲縣, 縉雲縣
后脚, 后脚
辽宁师范大学, 遼寧師範大學
涂長望, 涂長望
云冈, 云冈
又鹹, 又鹹
萬端, 萬端
豐衍, 豐衍
恩艾斯克, 恩艾斯克
朱莉婭, 朱莉婭
新秋, 新秋
發墨, 發墨
盛极必衰, 盛極必衰
并购案, 併購案
人口分布, 人口分布
同儕審查, 同儕審查
回籍, 回籍
換回, 換回
刮過來, 刮過來
創傷後壓力紊亂, 創傷後壓力紊亂
電子遊戲, 電子遊戲
游离辐射, 游离辐射
正弦曲线, 正弦曲線
克拉玛依, 克拉玛依
有别于, 有別於
夜驚症, 夜驚症
票價, 票價
挑拣出, 挑揀出
响彻云汉, 響徹雲漢
斯摩棱斯克, 斯摩棱斯克
消極, 消極
剃发留辫, 剃髮留辮
得道昇天, 得道昇天
余人, 余人
威克島, 威克島
訂製服, 訂製服
鼠藥, 鼠藥
团扇, 團扇
蜡弹, 蠟彈
各别, 各別
準備下, 準備下
相葉雅紀, 相葉雅紀
表里一致, 表裏一致
眼痠, 眼痠
盐水针, 盐水针
古朴, 古朴
极便当, 极便当
雜誌, 雜誌
于何, 于何
加工廠, 加工廠
吊桶落在井里, 吊桶落在井裏
殚精极思, 殫精極思
雨魄雲魂, 雨魄雲魂
駁回去, 駁回去
后埔, 後埔
出片, 出片
企劃案, 企劃案
整党, 整党
示范街, 示范街
哀戚, 哀慼
祭吊文, 祭弔文
经济落后, 經濟落後
批发, 批发
庆幸, 庆幸
总发, 總髮
组合而成, 組合而成
发进, 發進
借看, 借看
台湾散打王, 台湾散打王
泼才, 潑才
億隻, 億隻
閒庭信步, 閒庭信步
彈針, 彈針
洛可可美术, 洛可可美術
钱钟书, 錢鍾書
香港贸易发展局, 香港貿易發展局
巴罗克, 巴羅克
病历表, 病歷表
发白时, 发白时
眼花了乱, 眼花瞭乱
梦云, 夢雲
千斤重擔, 千斤重擔
遨遊, 遨遊
里契蒙, 里契蒙
颜面骨, 顏面骨
发予, 发予
星羅雲佈, 星羅雲佈
